"ML-Ready Dataset — For Use with Linear Regression, GBT, and SVR",,,,,,,,,,
"AY Start
(Feature)","AY End
(Feature)","Sector
(Label)","Sector
Encoded","Region
(Label)","Region
Encoded","SHS
Available","Total
Elementary","Total
High School","Total
Senior HS","Total
Students (TARGET)"
2020,2021,Public,0,Region VI - Western Visayas,11,1,"1,037,049","609,300","200,555","1,846,904"
2020,2021,Public,0,Region VII - Central Visayas,12,1,"1,040,762","545,651","166,333","1,752,746"
2020,2021,Public,0,Region VIII - Eastern Visayas,13,1,"678,933","375,109","133,025","1,187,067"
2020,2021,Public,0,Region IX - Zamboanga Peninsula,9,1,"562,205","302,414","82,695","947,314"
2020,2021,Public,0,Region X - Northern Mindanao,14,1,"711,556","328,315","91,784","1,131,655"
2020,2021,Public,0,Region XI - Davao Region,15,1,"687,368","357,568","91,934","1,136,870"
2020,2021,Public,0,Region XII - Soccsksargen,16,1,"686,531","338,085","100,421","1,125,037"
2020,2021,Public,0,CARAGA - CARAGA,2,1,"426,462","217,964","72,409","716,835"
2020,2021,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,"562,110","153,509","39,268","754,887"
2020,2021,Public,0,CAR - Cordillera Administrative Region,1,1,"218,767","104,490","32,652","355,909"
2020,2021,Public,0,NCR - National Capital Region,3,1,"1,223,147","689,595","112,399","2,025,141"
2010,2011,Private,1,Region I - Ilocos Region,4,0,"66,836","70,864",0,"137,700"
2010,2011,Private,1,Region II - Cagayan Valley,5,0,"36,416","46,042",0,"82,458"
2010,2011,Private,1,Region III - Central Luzon,6,0,"225,183","186,565",0,"411,748"
2010,2011,Private,1,Region IV-A - CALABARZON,7,0,"328,758","244,590",0,"573,348"
2010,2011,Private,1,Region IV-B - MIMAROPA,8,0,"21,987","31,027",0,"53,014"
2010,2011,Private,1,Region V - Bicol Region,10,0,"45,775","59,441",0,"105,216"
2010,2011,Private,1,Region VI - Western Visayas,11,0,"77,293","75,556",0,"152,849"
2010,2011,Private,1,Region VII - Central Visayas,12,0,"103,903","111,226",0,"215,129"
2010,2011,Private,1,Region VIII - Eastern Visayas,13,0,"26,152","36,482",0,"62,634"
2010,2011,Private,1,Region IX - Zamboanga Peninsula,9,0,"22,126","28,276",0,"50,402"
2010,2011,Private,1,Region X - Northern Mindanao,14,0,"54,330","71,401",0,"125,731"
2010,2011,Private,1,Region XI - Davao Region,15,0,"65,528","53,011",0,"118,539"
2010,2011,Private,1,Region XII - Soccsksargen,16,0,"47,426","55,747",0,"103,173"
2010,2011,Private,1,CARAGA - CARAGA,2,0,"16,425","24,826",0,"41,251"
2010,2011,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"17,335","28,540",0,"45,875"
2010,2011,Private,1,CAR - Cordillera Administrative Region,1,0,"29,586","33,539",0,"63,125"
2010,2011,Private,1,NCR - National Capital Region,3,0,"387,921","217,577",0,"605,498"
2011,2012,Private,1,Region I - Ilocos Region,4,0,"66,182","70,653",0,"136,835"
2011,2012,Private,1,Region II - Cagayan Valley,5,0,"36,728","46,006",0,"82,734"
2011,2012,Private,1,Region III - Central Luzon,6,0,"223,014","184,820",0,"407,834"
2011,2012,Private,1,Region IV-A - CALABARZON,7,0,"361,756","262,664",0,"624,420"
2011,2012,Private,1,Region IV-B - MIMAROPA,8,0,"22,425","31,237",0,"53,662"
2011,2012,Private,1,Region V - Bicol Region,10,0,"47,487","60,125",0,"107,612"
2011,2012,Private,1,Region VI - Western Visayas,11,0,"85,015","77,332",0,"162,347"
2011,2012,Private,1,Region VII - Central Visayas,12,0,"105,575","113,092",0,"218,667"
2011,2012,Private,1,Region VIII - Eastern Visayas,13,0,"25,695","37,320",0,"63,015"
2011,2012,Private,1,Region IX - Zamboanga Peninsula,9,0,"23,071","30,012",0,"53,083"
2011,2012,Private,1,Region X - Northern Mindanao,14,0,"53,337","67,762",0,"121,099"
2011,2012,Private,1,Region XI - Davao Region,15,0,"64,407","55,558",0,"119,965"
2011,2012,Private,1,Region XII - Soccsksargen,16,0,"49,898","55,414",0,"105,312"
2011,2012,Private,1,CARAGA - CARAGA,2,0,"16,977","25,005",0,"41,982"
2011,2012,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"17,882","31,255",0,"49,137"
2011,2012,Private,1,CAR - Cordillera Administrative Region,1,0,"33,842","34,295",0,"68,137"
2011,2012,Private,1,NCR - National Capital Region,3,0,"393,738","231,663",0,"625,401"
2012,2013,Private,1,Region I - Ilocos Region,4,0,"64,526","70,883",0,"135,409"
2012,2013,Private,1,Region II - Cagayan Valley,5,0,"37,371","46,171",0,"83,542"
2012,2013,Private,1,Region III - Central Luzon,6,0,"226,420","184,024",0,"410,444"
2012,2013,Private,1,Region IV-A - CALABARZON,7,0,"374,965","265,408",0,"640,373"
2012,2013,Private,1,Region IV-B - MIMAROPA,8,0,"23,608","31,478",0,"55,086"
2012,2013,Private,1,Region V - Bicol Region,10,0,"48,327","60,632",0,"108,959"
2012,2013,Private,1,Region VI - Western Visayas,11,0,"98,679","77,380",0,"176,059"
2012,2013,Private,1,Region VII - Central Visayas,12,0,"107,000","108,491",0,"215,491"
2012,2013,Private,1,Region VIII - Eastern Visayas,13,0,"27,053","37,294",0,"64,347"
2012,2013,Private,1,Region IX - Zamboanga Peninsula,9,0,"25,340","29,069",0,"54,409"
2012,2013,Private,1,Region X - Northern Mindanao,14,0,"55,132","71,923",0,"127,055"
2012,2013,Private,1,Region XI - Davao Region,15,0,"69,705","58,287",0,"127,992"
2012,2013,Private,1,Region XII - Soccsksargen,16,0,"53,471","56,421",0,"109,892"
2012,2013,Private,1,CARAGA - CARAGA,2,0,"19,041","25,410",0,"44,451"
2012,2013,Private,1,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,0,"26,195","34,665",0,"60,860"
2012,2013,Private,1,CAR - Cordillera Administrative Region,1,0,"34,808","35,297",0,"70,105"
2012,2013,Private,1,NCR - National Capital Region,3,0,"382,197","228,248",0,"610,445"
2013,2014,Private,1,Region I - Ilocos Region,4,0,"63,713","69,532",0,"133,245"
2013,2014,Private,1,Region II - Cagayan Valley,5,0,"37,874","45,515",0,"83,389"
2013,2014,Private,1,Region III - Central Luzon,6,0,"223,651","180,166",0,"403,817"
2013,2014,Private,1,Region IV-A - CALABARZON,7,0,"364,964","246,689",0,"611,653"
2013,2014,Private,1,Region IV-B - MIMAROPA,8,0,"20,485","29,591",0,"50,076"
2013,2014,Private,1,Region V - Bicol Region,10,0,"47,712","61,864",0,"109,576"
2013,2014,Private,1,Region VI - Western Visayas,11,0,"99,583","76,147",0,"175,730"
